id,bc2,bc1,sample,did
HG02002,104,19,run2_1d2,062919
HG02003,97,20,run2_1d2,062919
HG02008,98,20,run2_1d2,062919
HG02008,105,55,run2_1d2,062919
HG02089,105,20,run2_1d2,062919
HG02090,106,20,run2_1d2,062919
HG02104,101,20,run2_1d2,062919
HG02105,102,20,run2_1d2,062919
HG02146,103,20,run2_1d2,062919
HG02147,104,20,run2_1d2,062919
HG02259,97,21,run2_1d2,062919
HG02260,98,21,run2_1d2,062919
HG02271,105,21,run2_1d2,062919
HG02272,106,21,run2_1d2,062919
HG02277,101,21,run2_1d2,062919
HG02277,102,55,run2_1d2,062919
HG02278,102,21,run2_1d2,062919
HG02285,103,21,run2_1d2,062919
HG02286,104,21,run2_1d2,062919
HG02291,97,22,run2_1d2,062919
HG02292,98,22,run2_1d2,062919
HG02292,103,55,run2_1d2,062919
HG02298,105,22,run2_1d2,062919
HG02299,106,22,run2_1d2,062919
HG02301,101,22,run2_1d2,062919
HG02302,102,22,run2_1d2,062919
HG02490,102,23,run2_1d2,062919
HG02491,103,23,run2_1d2,062919
HG02493,104,23,run2_1d2,062919
HG02494,97,24,run2_1d2,062919
HG02597,98,24,run2_1d2,062919
HG02600,105,24,run2_1d2,062919
HG02601,106,24,run2_1d2,062919
HG02603,101,24,run2_1d2,062919
HG02604,102,24,run2_1d2,062919
HG02648,103,24,run2_1d2,062919
HG02649,104,24,run2_1d2,062919
HG02651,97,25,run2_1d2,062919
HG02652,98,25,run2_1d2,062919
HG02652,104,55,run2_1d2,062919
HG02654,105,25,run2_1d2,062919
HG02655,106,25,run2_1d2,062919
HG02657,101,25,run2_1d2,062919
HG02658,102,25,run2_1d2,062919
HG02660,103,25,run2_1d2,062919
HG02661,104,25,run2_1d2,062919
HG02681,97,26,run2_1d2,062919
HG02682,98,26,run2_1d2,062919
HG02682,97,56,run2_1d2,062919
HG02684,105,26,run2_1d2,062919
HG02685,106,26,run2_1d2,062919
HG02687,101,26,run2_1d2,062919
HG02688,102,26,run2_1d2,062919
HG02690,103,26,run2_1d2,062919
HG02691,104,26,run2_1d2,062919
HG02694,97,27,run2_1d2,062919
HG02696,98,27,run2_1d2,062919
HG02697,105,27,run2_1d2,062919
HG02699,106,27,run2_1d2,062919
